Date,Open,High,Low,Close,Volume
15/08/2022 16:00:00,171.52,173.39,171.35,173.19,54091694
16/08/2022 16:00:00,172.78,173.71,171.66,173.03,56377050
17/08/2022 16:00:00,172.77,176.15,172.57,174.55,79542037
18/08/2022 16:00:00,173.75,174.9,173.12,174.15,62290075
19/08/2022 16:00:00,173.03,173.74,171.31,171.52,70346295
22/08/2022 16:00:00,169.69,169.86,167.14,167.57,69026809
23/08/2022 16:00:00,167.08,168.71,166.65,167.23,54147079
24/08/2022 16:00:00,167.32,168.11,166.25,167.53,53841524
25/08/2022 16:00:00,168.78,170.14,168.35,170.03,51218209
26/08/2022 16:00:00,170.57,171.05,163.56,163.62,78960980
29/08/2022 16:00:00,161.15,162.9,159.82,161.38,73313953
30/08/2022 16:00:00,162.13,162.56,157.72,158.91,77906197
31/08/2022 16:00:00,160.31,160.58,157.14,157.22,87991091
01/09/2022 16:00:00,156.64,158.42,154.67,157.96,74229896
02/09/2022 16:00:00,159.75,160.36,154.97,155.81,76957768
06/09/2022 16:00:00,156.47,157.09,153.69,154.53,73714843
07/09/2022 16:00:00,154.82,156.67,153.61,155.96,87449574
08/09/2022 16:00:00,154.64,156.36,152.68,154.46,84923847
09/09/2022 16:00:00,155.47,157.82,154.75,157.37,68081006
12/09/2022 16:00:00,159.59,164.26,159.3,163.43,104955962
13/09/2022 16:00:00,159.9,160.54,153.37,153.84,122656614
14/09/2022 16:00:00,154.79,157.1,153.61,155.31,87965409
15/09/2022 16:00:00,154.65,155.24,151.38,152.37,90481110
16/09/2022 16:00:00,151.21,151.35,148.37,150.7,162278841
19/09/2022 16:00:00,149.31,154.56,149.1,154.48,81474246
20/09/2022 16:00:00,153.4,158.08,153.08,156.9,107689796
21/09/2022 16:00:00,157.34,158.74,153.6,153.72,101696790
22/09/2022 16:00:00,152.38,154.47,150.91,152.74,86652542
23/09/2022 16:00:00,151.19,151.47,148.56,150.43,96029909
26/09/2022 16:00:00,149.66,153.77,149.64,150.77,93339409
27/09/2022 16:00:00,152.74,154.72,149.95,151.76,84442741
28/09/2022 16:00:00,147.64,150.64,144.84,149.84,146691387
29/09/2022 16:00:00,146.1,146.72,140.68,142.48,128138237
30/09/2022 16:00:00,141.28,143.1,138,138.2,124925274
03/10/2022 16:00:00,138.21,143.07,137.69,142.45,114311663
04/10/2022 16:00:00,145.03,146.22,144.26,146.1,87830064
05/10/2022 16:00:00,144.07,147.38,143.01,146.4,79470968
06/10/2022 16:00:00,145.81,147.54,145.22,145.43,68402169
07/10/2022 16:00:00,142.54,143.1,139.45,140.09,85925559
10/10/2022 16:00:00,140.42,141.89,138.57,140.42,74899002
11/10/2022 16:00:00,139.9,141.35,138.22,138.98,77033672
12/10/2022 16:00:00,139.13,140.36,138.16,138.34,70433744
